feature,recall_impact,f1_impact,accuracy_impact,ablated_recall,ablated_f1,ablated_accuracy
radius_mean,-0.023809523809523836,-0.03369905956112862,-0.026315789473684292,1.0,0.9655172413793104,0.9736842105263158
perimeter_mean,-0.023809523809523836,-0.03369905956112862,-0.026315789473684292,1.0,0.9655172413793104,0.9736842105263158
area_mean,-0.023809523809523836,-0.03369905956112862,-0.026315789473684292,1.0,0.9655172413793104,0.9736842105263158
compactness_mean,-0.023809523809523836,-0.03369905956112862,-0.026315789473684292,1.0,0.9655172413793104,0.9736842105263158
concavity_mean,-0.023809523809523836,-0.03369905956112862,-0.026315789473684292,1.0,0.9655172413793104,0.9736842105263158
concave points_mean,-0.023809523809523836,-0.03369905956112862,-0.026315789473684292,1.0,0.9655172413793104,0.9736842105263158
radius_se,-0.023809523809523836,-0.03369905956112862,-0.026315789473684292,1.0,0.9655172413793104,0.9736842105263158
radius_worst,-0.023809523809523836,-0.022727272727272707,-0.01754385964912286,1.0,0.9545454545454545,0.9649122807017544
perimeter_worst,-0.023809523809523836,-0.03369905956112862,-0.026315789473684292,1.0,0.9655172413793104,0.9736842105263158
area_worst,-0.023809523809523836,-0.03369905956112862,-0.026315789473684292,1.0,0.9655172413793104,0.9736842105263158
