feature,coefficient_importance,permutation_importance
concave points_worst,1.0,1.0
radius_worst,0.3389464286109798,0.12953367875647667
radius_mean,0.0,0.0
concavity_worst,0.0,0.0
perimeter_ratio,0.0,0.0
radius_ratio,0.0,0.0
worst_features_max,0.0,0.0
worst_features_avg,0.0,0.0
mean_features_std,0.0,0.0
mean_features_avg,0.0,0.0
compactness_worst,0.0,0.0
perimeter_mean,0.0,0.0
area_worst,0.0,0.0
perimeter_worst,0.0,0.0
radius_se,0.0,0.0
concave points_mean,0.0,0.0
concavity_mean,0.0,0.0
compactness_mean,0.0,0.0
area_mean,0.0,0.0
area_ratio,0.0,0.0
